epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0445,1.20263,3.16498,1.38201,0.4008,0.65342,0.49625,0.34735,1.00978,1.69857,1.23535,0.000329545,0.000329545,0.000329545
2,75.3661,1.00083,1.50087,1.21004,0.40848,0.64797,0.54217,0.37796,1.01676,2.28123,1.3365,0.000656316,0.000656316,0.000656316
3,108.464,0.99327,1.37501,1.19937,0.69259,0.34217,0.43767,0.30802,0.8972,2.49162,1.21991,0.000976487,0.000976487,0.000976487
4,141.831,0.9552,1.29863,1.19402,0.41199,0.71476,0.61612,0.46625,0.86313,1.29368,1.14672,0.0009703,0.0009703,0.0009703
5,174.307,0.93541,1.22801,1.18388,0.54114,0.57175,0.60727,0.45719,0.86351,1.60897,1.18579,0.0009604,0.0009604,0.0009604
6,208.149,0.90299,1.14318,1.15049,0.41559,0.80753,0.63839,0.49858,0.78425,1.07824,1.07032,0.0009505,0.0009505,0.0009505
7,241.144,0.87464,1.11629,1.12783,0.47138,0.787,0.66414,0.5348,0.73157,1.10909,1.02673,0.0009406,0.0009406,0.0009406
8,274.28,0.8612,1.09063,1.11292,0.57006,0.71346,0.67517,0.53203,0.74158,1.07119,1.0331,0.0009307,0.0009307,0.0009307
9,307.492,0.85074,1.05976,1.10982,0.4671,0.73325,0.63373,0.51226,0.72012,1.04847,1.02778,0.0009208,0.0009208,0.0009208
10,340,0.84348,1.05584,1.10953,0.48864,0.74518,0.69764,0.55433,0.77622,0.98371,1.05913,0.0009109,0.0009109,0.0009109
11,373.267,0.83374,1.01662,1.10402,0.52402,0.79698,0.6877,0.53101,0.78643,0.98965,1.0863,0.000901,0.000901,0.000901
12,405.576,0.8197,0.99864,1.09514,0.56037,0.86573,0.68106,0.55652,0.71352,1.03869,1.02758,0.0008911,0.0008911,0.0008911
13,438.646,0.7946,0.96307,1.07881,0.56625,0.85528,0.69688,0.57527,0.67527,0.91944,1.00905,0.0008812,0.0008812,0.0008812
14,471.495,0.80008,0.96338,1.09001,0.63102,0.86392,0.69144,0.56144,0.70255,0.90126,0.99529,0.0008713,0.0008713,0.0008713
15,505.15,0.78236,0.97992,1.07924,0.57599,0.9035,0.69492,0.56543,0.71364,0.91208,1.01,0.0008614,0.0008614,0.0008614
16,539.159,0.77118,0.95422,1.05844,0.60806,0.93154,0.68542,0.56585,0.68857,0.89513,0.98574,0.0008515,0.0008515,0.0008515
17,572.639,0.76786,0.91686,1.06026,0.65096,0.85745,0.70963,0.59375,0.64891,0.82331,0.97154,0.0008416,0.0008416,0.0008416
18,607.152,0.75911,0.89982,1.06415,0.60863,0.90067,0.70969,0.58173,0.67799,0.89217,0.98952,0.0008317,0.0008317,0.0008317
19,640.31,0.74678,0.88332,1.04226,0.62204,0.88563,0.7103,0.59679,0.66052,0.84686,0.98236,0.0008218,0.0008218,0.0008218
20,674.559,0.73149,0.88778,1.0435,0.55243,0.81097,0.64982,0.53813,0.63744,1.18117,0.96876,0.0008119,0.0008119,0.0008119
21,707.487,0.721,0.90269,1.03566,0.6428,0.87453,0.72146,0.6019,0.64329,0.81359,0.98198,0.000802,0.000802,0.000802
22,742.218,0.72222,0.86902,1.04771,0.63029,0.87553,0.71063,0.60586,0.63058,0.82878,0.9712,0.0007921,0.0007921,0.0007921
23,777.478,0.71715,0.85575,1.04443,0.62144,0.90835,0.70807,0.59044,0.66376,0.82585,0.97833,0.0007822,0.0007822,0.0007822
24,811.415,0.72499,0.83431,1.04758,0.6276,0.87199,0.71476,0.60143,0.61807,0.83963,0.97195,0.0007723,0.0007723,0.0007723
25,846.474,0.70667,0.83686,1.04228,0.65241,0.9178,0.73969,0.62389,0.63011,0.78507,0.97071,0.0007624,0.0007624,0.0007624
26,881.194,0.7285,0.83591,1.04306,0.63952,0.89956,0.73132,0.62422,0.59967,0.81128,0.96186,0.0007525,0.0007525,0.0007525
27,914.83,0.70896,0.84332,1.04512,0.63869,0.92535,0.73048,0.61196,0.63705,0.83933,0.9777,0.0007426,0.0007426,0.0007426
28,949.296,0.69421,0.82805,1.03502,0.66884,0.82712,0.74718,0.64131,0.57292,0.8038,0.93885,0.0007327,0.0007327,0.0007327
29,982.054,0.69967,0.82984,1.03166,0.63784,0.91132,0.73904,0.63019,0.58593,0.79303,0.94707,0.0007228,0.0007228,0.0007228
30,1016.17,0.68928,0.81891,1.02997,0.67745,0.89457,0.74703,0.64079,0.56881,0.75204,0.93186,0.0007129,0.0007129,0.0007129
31,1050.41,0.68261,0.79561,1.01434,0.65305,0.90637,0.77071,0.66255,0.56227,0.77866,0.92879,0.000703,0.000703,0.000703
32,1083.52,0.67392,0.79116,1.0226,0.68833,0.8852,0.76324,0.65787,0.55887,0.75724,0.93599,0.0006931,0.0006931,0.0006931
33,1118.01,0.66066,0.7788,1.00935,0.67834,0.92455,0.75437,0.65061,0.5832,0.7467,0.95094,0.0006832,0.0006832,0.0006832
34,1151.94,0.66091,0.78267,1.00587,0.63303,0.92802,0.74764,0.64243,0.5755,0.81657,0.92765,0.0006733,0.0006733,0.0006733
35,1185.27,0.65015,0.7655,0.9957,0.67981,0.85212,0.75957,0.6456,0.6069,0.78559,0.94064,0.0006634,0.0006634,0.0006634
36,1218.11,0.66364,0.75892,1.01031,0.66376,0.8724,0.76791,0.65152,0.61891,0.77238,0.94956,0.0006535,0.0006535,0.0006535
37,1251.78,0.6521,0.75418,1.00075,0.69854,0.84013,0.75761,0.65596,0.55563,0.72701,0.92119,0.0006436,0.0006436,0.0006436
38,1285.76,0.64658,0.73596,1.01112,0.69677,0.8617,0.77952,0.67553,0.55043,0.74898,0.91613,0.0006337,0.0006337,0.0006337
39,1318.95,0.64502,0.75007,1.00444,0.67463,0.86547,0.73595,0.6378,0.56732,0.84683,0.93925,0.0006238,0.0006238,0.0006238
40,1353.21,0.62844,0.72711,0.99621,0.71493,0.84785,0.79293,0.67988,0.56226,0.71634,0.9253,0.0006139,0.0006139,0.0006139
41,1386.65,0.63575,0.72923,0.99822,0.71206,0.87615,0.81392,0.70266,0.5735,0.69606,0.93621,0.000604,0.000604,0.000604
42,1420.27,0.63942,0.72228,0.99724,0.73344,0.87489,0.80729,0.68591,0.60826,0.69494,0.96655,0.0005941,0.0005941,0.0005941
43,1453.62,0.6328,0.71303,1.00035,0.70756,0.85053,0.79218,0.68787,0.54857,0.72213,0.92501,0.0005842,0.0005842,0.0005842
44,1486.11,0.62611,0.70002,0.99387,0.72954,0.88887,0.82892,0.72157,0.54017,0.66411,0.927,0.0005743,0.0005743,0.0005743
45,1519.81,0.60598,0.69361,0.98384,0.74288,0.85597,0.83068,0.72096,0.55912,0.66929,0.939,0.0005644,0.0005644,0.0005644
46,1552.52,0.61262,0.69731,0.9876,0.71596,0.88191,0.82857,0.72177,0.5422,0.67989,0.9216,0.0005545,0.0005545,0.0005545
47,1585.6,0.61332,0.70373,0.992,0.73262,0.85804,0.82227,0.70845,0.55986,0.71514,0.92676,0.0005446,0.0005446,0.0005446
48,1618.49,0.60192,0.68422,0.98159,0.73451,0.84441,0.82369,0.71438,0.53477,0.6787,0.92275,0.0005347,0.0005347,0.0005347
49,1651.6,0.59768,0.65813,0.98602,0.79382,0.8536,0.83584,0.7242,0.56024,0.66264,0.92237,0.0005248,0.0005248,0.0005248
50,1684.93,0.5964,0.66005,0.98194,0.8091,0.85718,0.83407,0.73305,0.5228,0.65004,0.91614,0.0005149,0.0005149,0.0005149
